Rank,Wallet Address,Buy Count,Sell Count,Total Buy SOL,Total Sell SOL,Net SOL (Modal),Sisa Token (Net),Realized Profit USD,Balance,Tags
865,7c7qKcHPeQSLUVczfTugkEJy5co5ihv93EHGSNHhiKXD,0,1,0.0000,0.0455,-0.0455,-66271.51,-6.31,0,""
866,JBzU99LYekSFhThpv4xHWDo4aC9eM1QKHULhio3owv7T,1,1,0.9653,1.0112,-0.0459,0.00,40.73,0,"paper_hands; bundler"
867,7xvNWtfAMbYLJVJaYZcSxHmnYykFTMg28YTHGUCd3VQz,4,5,0.3116,0.3585,-0.0469,-86008.05,-39.64,0,""
868,9osqrRW9EJxYs94QaohWV5a5waGhB68ALYd1dv8kXBts,0,1,0.0000,0.0469,-0.0469,-67268.40,-23.58,0,"bundler"
869,FEQL965x9aWiMc7DMe51r531KvL83g7XN4WRGpUW2Pmo,0,1,0.0000,0.0478,-0.0478,-66855.86,-158.32,0,""
870,GRZM6qWv8JwY376Zz3gvSRWAwJu7QSKf5MK8k4iGtGki,0,1,0.0000,0.0483,-0.0483,-92358.50,0.00,0,"paper_hands"
871,4Hviij1eyRngH5H17XRcDSRFREXcN39pA2nbPj85qrQ4,0,1,0.0000,0.0492,-0.0492,-100000.10,17.73,0,"gmgn"
872,32y5hfGUsssz1zAEoUmBxZLJ3h5WYSyEWUnsazFWch6c,0,1,0.0000,0.0492,-0.0492,-65230.69,-4.40,0,"axiom"
873,28pryh85shDtwFWoU2PyWSdaTveKkDSr2AkRxQGEarBW,0,2,0.0000,0.0500,-0.0500,-93481.62,0.00,0,""
874,CNMsr9Sz5Mim86dgo5kAjwvFL6mp8xPYHu1UxJNeBNWP,9,2,0.5941,0.6441,-0.0500,-0.00,32.69,0,""
875,AB7VjMHevb2posN8kmrkFec1Uq3b9N1yWbpjk4R9Lud2,0,1,0.0000,0.0525,-0.0525,-51777.65,-32.07,0,""
876,7wiC6ukBBZwkViqxuNEBvcLAM3N5vj1LCJTj6J8FTmpf,1,1,0.1509,0.2033,-0.0525,-82660.94,-9.95,0,""
877,EuXkc7yujmqK1aJhcA5xDuTiKEjk1dRyUgEDaHPernuk,1,1,1.3862,1.4389,-0.0527,0.00,4.40,0,""
878,DQgQz2ivibhFGG2kE8FFyZbBYFMWvFFNAhFkiUwuHNYm,6,4,8.0574,8.1111,-0.0537,0.00,3.37,0,"paper_hands"
879,2coc39xNsFEtA982du3Q1fiBDKuqyjj8VUb8v31dev9v,0,1,0.0000,0.0538,-0.0538,-71095.30,-588.76,0,""
880,6FgLeisnx9GwBEmcU65GzrKiLyHz12DmM1Za1qgZXQZ6,0,1,0.0000,0.0538,-0.0538,-48085.91,-37.08,0,"gmgn"
881,5XkVZ8yEzsqV13SvTyvDRUDigCHWNRKHMPVeXoDxfYN2,0,1,0.0000,0.0543,-0.0543,-81643.45,-63.86,0,"fresh_wallet"
882,bDjFgk8q8NA1i8quzKGuMC3QL8YNSW8XCHSCksLg35J,1,2,0.3241,0.3792,-0.0551,-108801.79,2.26,0,"bundler"
883,DvUK1T87Yv53774DjpDoF3g16NtrWAedMYvtnwjgkzT6,0,1,0.0000,0.0557,-0.0557,-51410.87,18.15,0,""
884,8kvhQzmrJWBJt3nDJWMJ8ST8oSazbUqocpdxxwbvATGU,0,1,0.0000,0.0558,-0.0558,-89550.01,-14.95,0,""
885,CKiZLZZvCYrPbD3FJfdghSng5jM9NV6Y6dvB9tGNm3zy,0,1,0.0000,0.0560,-0.0560,-126651.84,0.00,0,""
886,Agwb5rZ1eeNyi2HfqvJRWxMi6CmCY72xicwjbPUFAYVz,3,2,0.0994,0.1555,-0.0560,-66564.19,1.79,0,""
887,7c6sHiAnWHJdvjyZVoJVQfmt96nM283nsE5KWduHWt2w,0,1,0.0000,0.0569,-0.0569,-133659.07,0.00,0,""
888,LowaP8Y7EViv1EWTV5xvFhotDyhqfShvcRgDnSd8v8m,2,2,0.8488,0.9057,-0.0569,0.00,3.32,0,"paper_hands"
889,4jkL4dNkY2UbpYrTgLA3u5FqKwKs1LM46RcE6FQU3qXi,6,8,0.2502,0.3079,-0.0577,-75071.56,387.12,11166.780291,""
890,7BGLrJjh4CuHKJLFk9prBp5Gkph5oQZ1gYoZWEyx5mef,9,12,0.4132,0.4710,-0.0578,-160166.00,8.07,0,""
891,BEochrdGhm5pcKVF73DURYrGo1DLzxq6bBcUBphQR64d,0,1,0.0000,0.0582,-0.0582,-105742.13,0.00,0,"bluechip_owner"
892,BkXCyB8Vb229d61rg8AS7BdwDnLdUFx1fQeLkpKm98RG,0,1,0.0000,0.0584,-0.0584,-45833.87,7.06,0,""
893,BV1YJV4BNbCDWLeNJtrqXNELMis7kDyndvwytTrjXCJi,0,1,0.0000,0.0590,-0.0590,-52448.19,36.84,0,""
894,Cg2ipqe5d4JpYBYrgKkWLhhRfZgvT77B7e8eBfyGnygM,0,1,0.0000,0.0594,-0.0594,-110956.02,-4.70,0.000001,""
895,CA38yzQZiLhYtA1HwDBscaCu8yLYmiVdAgEAqyfwDq4d,2,3,0.2153,0.2756,-0.0603,-134265.75,-20.76,0,"gmgn"
896,tR9QXDVRMK4toCMU41h8hooDeFSipaaHcADtawJtN2h,0,1,0.0000,0.0606,-0.0606,-96131.97,91.50,0,""
897,FtFwjbqVRq7dB1R6oTD7WW9oYSJubPfT69HGnxhXPWLj,0,8,0.0000,0.0606,-0.0606,-70511.49,-0.00,0,"paper_hands"
898,FWHDC5VQqwpAkbp3j8cYCfardaQP92zn881T3F8VzU7D,0,1,0.0000,0.0609,-0.0609,-131281.83,29.13,0,""
899,5m2CFrtim5JgX41AyAQvV5nUen6deHdcCkGVvtU7PG4w,0,1,0.0000,0.0612,-0.0612,-41527.65,-17.93,0,"fresh_wallet"
900,GF4mzbEX3zWqZnSokDzechgLbpZCJJQDQ4q94GfEnHbj,0,1,0.0000,0.0613,-0.0613,-98042.51,-16.92,0,"gmgn"
901,E45YLW6LV2GdvPu4HgpBMZF4veGmUqbK6hs2W3ykx2s1,1,1,0.9531,1.0145,-0.0613,0.00,322.59,0,"sandwich_bot; axiom; padre; paper_hands; bundler"
902,55HoX9GXaWLLbPvGL5mJjFKW5caBfXR7PdvcYVcfwbRa,4,1,0.4649,0.5263,-0.0614,0.00,5.34,0,""
903,5zMzZ5ibjcJ8bg5rgd712K49t8wyerQmgPoJ1tBLLTwQ,0,4,0.0000,0.0616,-0.0616,-73522.23,0.00,0,"paper_hands"
904,F1LKobFeGUHocdHk3ycK8icdyhD4XsKiAkE4QJz2Lhb2,4,1,0.4622,0.5244,-0.0622,-149312.97,1261.73,0,"bluechip_owner; bundler"
905,CMt9a1RyDeFcN6DA8zQ9ZZgTiambKz4V3MjatH6o7d8n,0,1,0.0000,0.0622,-0.0622,-49279.58,0.00,0,""
906,BeePEd9z2vAnHU2HySebwFnTUGugftHELUTDgfTEBNks,0,1,0.0000,0.0629,-0.0629,-43607.19,1.11,0,""
907,4K3a2ucXiGvuMJMPNneRDyzmNp6i4RdzXJmBdWwGwPEh,0,4,0.0000,0.0631,-0.0631,-104341.89,-0.08,0.00005,"bluechip_owner"
908,FrKHo72TTQE23e7DHJpq39W6F2oKGZgAWcHY8FzcSDc8,0,1,0.0000,0.0634,-0.0634,-131665.00,-109.18,0,"trojan"
909,J7GR6XoJfCPwZumW9xZ1nbWkyaq1oYSQuSVmCdBTx6Nf,2,2,0.9221,0.9858,-0.0637,66667.03,554.54,0,""
910,9PJTGbCwDURnfQjypijkdDvBFo9sa9ZtTpriCXZv2bTp,12,12,0.7891,0.8537,-0.0646,15092.95,7.31,0,"paper_hands"
911,GUQBvk8J9YqXNtK7mE84eCopWEwkmQFkAGrX53UQiSW9,0,1,0.0000,0.0654,-0.0654,-107863.57,-527.32,0,""
912,9Bp8RkRp3sn3ZBGGxzneHsYNrqZms47TdFa4GbYBc98L,0,1,0.0000,0.0669,-0.0669,-77266.75,0.00,0,"paper_hands"
913,7xMnm7KfZEWbJhx2T2Qn4fyWcZVzkYajpTcXGvjHVYjz,0,1,0.0000,0.0670,-0.0670,-132648.67,35.20,0,""
914,EEeeb4BMYKwyTZf3eKC13YjhsTX4A6wn8hf5Q3ATgCWK,0,1,0.0000,0.0671,-0.0671,-91009.71,-4.49,0,""
